model,term,OR_CI,sig,ubar,b,t,fmi,fmi_level
Model 3,DBAS_Medications,"0.67 [0.58, 0.76]",***,0.004566388702597198,0,0.004566388702597198,0.0050893679226275065,Low (< 0.10)
Model 3,CISS_Emotion,"0.81 [0.60, 1.09]",,0.023372705936000188,0,0.023372705936000188,0.0050893679226275065,Low (< 0.10)
Model 3,BFI_Extraversion,"1.40 [1.10, 1.78]",**,0.0149675444249067,0,0.0149675444249067,0.0050893679226275065,Low (< 0.10)
Model 3,BFI_Conscientiousness,"0.94 [0.70, 1.27]",,0.022800283896207904,0,0.022800283896207904,0.0050893679226275065,Low (< 0.10)
Model 4,DBAS_Medications,"0.67 [0.58, 0.76]",***,0.004576434867473772,0,0.004576434867473772,0.0051153984471762615,Low (< 0.10)
Model 4,CISS_Emotion,"0.78 [0.58, 1.06]",,0.023612049876502714,0,0.023612049876502714,0.0051153984471762615,Low (< 0.10)
Model 4,BFI_Extraversion,"1.38 [1.08, 1.76]",**,0.015143157939177735,0,0.015143157939177735,0.0051153984471762615,Low (< 0.10)
Model 4,BFI_Conscientiousness,"0.95 [0.70, 1.27]",,0.023066143287163835,0,0.023066143287163835,0.0051153984471762615,Low (< 0.10)
Model 4,age,"0.97 [0.93, 1.01]",,5.028588415925561e-4,0,5.028588415925561e-4,0.0051153984471762615,Low (< 0.10)
Model 4,sex,"0.79 [0.46, 1.35]",,0.0751769710108783,0,0.0751769710108783,0.0051153984471762615,Low (< 0.10)
