model,term,OR_CI,sig,fmi,tipping_point,robustness
Model 3,DBAS_Medications,"0.67 [0.58, 0.76]",***,0.0050893679226275065,NA,Robust — no flip found in +/-5 range
Model 3,CISS_Emotion,"0.81 [0.60, 1.09]",,0.0050893679226275065,NA,NA
Model 3,BFI_Extraversion,"1.40 [1.10, 1.78]",**,0.0050893679226275065,NA,Robust — no flip found in +/-5 range
Model 3,BFI_Conscientiousness,"0.94 [0.70, 1.27]",,0.0050893679226275065,NA,NA
Model 4,DBAS_Medications,"0.67 [0.58, 0.76]",***,0.0051153984471762615,NA,Robust — no flip found in +/-5 range
Model 4,CISS_Emotion,"0.78 [0.58, 1.06]",,0.0051153984471762615,NA,NA
Model 4,BFI_Extraversion,"1.38 [1.08, 1.76]",**,0.0051153984471762615,-0.39999999999999947,Very sensitive (|delta| < 0.5)
Model 4,BFI_Conscientiousness,"0.95 [0.70, 1.27]",,0.0051153984471762615,NA,NA
Model 4,age,"0.97 [0.93, 1.01]",,0.0051153984471762615,NA,NA
Model 4,sex,"0.79 [0.46, 1.35]",,0.0051153984471762615,NA,NA
