"Variable","Overall"
"age","73.31 (6.07)"
"sex",""
"    Female","255 (64.2)"
"    Male","142 (35.8)"
"education",""
"    High School or Less","84 (21.2)"
"    Trade School/University Degree","313 (78.8)"
"income",""
"    $15,000 or less","4 (1.0)"
"    $15,000 to $30,000","43 (10.7)"
"    $30,000 to $50,000","72 (18.2)"
"    $50,000 to $80,000","105 (26.6)"
"    $80,000 or more","173 (43.5)"
"employment",""
"    Full- or Part-Time Work","29 (7.3)"
"    Not in Workforce","368 (92.7)"
"driving_freq",""
"    Do not drive","25 (6.4)"
"    Less than 1 day/week","30 (7.6)"
"    1-3 days/week","108 (27.2)"
"    4-7 days/week","233 (58.8)"
"phq2_score","1.36 (1.57)"
"osss_3_score","10.21 (2.28)"
"med_quant","6.42 (3.95)"
"n_physical_conditions","3.39 (2.35)"
"n_ment_conditions","0.78 (0.96)"
"n_sleep_conditions","1.43 (0.68)"
"n_health_conditions","5.59 (3.02)"
"bzra_daily_diazepam_eq","0.80 (1.37)"
"c_lengthofuse","12.29 (9.74)"
"med_burden_1","2.57 (1.10)"
"med_burden2","3.37 (1.14)"
"medburden_3","3.25 (1.19)"
"med_burden_4","3.82 (0.97)"
"benefit_1","3.81 (0.93)"
"benefit_4","4.06 (0.75)"
"benefit_5","4.10 (0.73)"
"benefit_6","3.38 (1.09)"
"benefit_dep","3.58 (1.09)"
"stop_rate_dc",""
"    Abruptly (cold turkey)","144 (36.3)"
"    Slowly (1-4 weeks)","120 (30.3)"
"    Very slowly (>4 weeks)","133 (33.4)"
"memory","3.22 (1.23)"
"thinking","3.19 (1.26)"
"activities","3.17 (1.28)"
"socialize","3.04 (1.30)"
"driving","3.18 (1.37)"
"balance","3.29 (1.25)"
"falls","3.19 (1.30)"
"indication","3.77 (1.45)"
"efficacy","3.76 (1.21)"
"alternative","3.86 (1.26)"
"inf_soc","2.62 (1.14)"
"inf_pres","3.10 (1.11)"
"inf_rphc","2.72 (1.04)"
"interactions","3.12 (1.27)"
"dependence","3.23 (1.17)"
"reduc","3.74 (1.12)"
"cost","2.45 (1.09)"
"alc_sleep",""
"    Less than 1 day/week","3 (15.0)"
"    1-3 days/week","7 (35.0)"
"    4-6 days/week","4 (20.0)"
"    7 days/week","6 (30.0)"
"can_sleep",""
"    Less than 1 day/week","20 (37.7)"
"    1-3 days/week","8 (15.1)"
"    4-6 days/week","5 (9.4)"
"    7 days/week","20 (37.7)"
"melatonin_use",""
"    Less than 1 day/week","28 (29.5)"
"    1-3 days/week","12 (12.6)"
"    4-6 days/week","18 (18.9)"
"    7 days/week","37 (38.9)"
"side_effects_1","2.42 (1.17)"
"side_effects_2","2.07 (0.95)"
"side_effects_3","1.58 (0.83)"
"side_effects_4","2.80 (0.98)"
"safety_1","1.98 (0.85)"
"safety_2","3.41 (0.98)"
"safety_3","1.62 (1.02)"
"safety_4","3.30 (1.37)"
"adls_1","1.91 (0.93)"
"adls_2","1.84 (0.95)"
"dependence_1","3.61 (1.20)"
"dependence_2","3.42 (1.17)"
"dependence_3","2.96 (1.16)"
"stop_wdl_exp_combined",""
"    No withdrawal","162 (40.8)"
"    Insomnia only","123 (31.0)"
"    Anxiety only","3 (0.8)"
"    Other MH symptoms only","1 (0.3)"
"    Physical symptoms only","1 (0.3)"
"    Multiple symptoms","107 (27.0)"
"wdl_symptom_count","0.95 (1.00)"
"motivation_1","3.29 (1.21)"
"motivation_2","2.51 (1.16)"
"motivation_3","2.60 (1.24)"
"desires_1","2.71 (1.12)"
"desires_2","2.42 (0.91)"
"desires_3","3.52 (1.12)"
"capability_1","3.11 (1.18)"
"capability","3.06 (1.26)"
"BFI_Extraversion","3.21 (1.04)"
"BFI_Agreeableness","3.83 (0.84)"
"BFI_Conscientiousness","4.19 (0.81)"
"BFI_Neuroticism","2.92 (1.04)"
"BFI_Openness","3.57 (0.90)"
"SURPS_Impulsivity","2.01 (0.48)"
"SURPS_Sensation_Seeking","1.98 (0.49)"
"SURPS_Hopelessness","2.03 (0.49)"
"SURPS_Anxiety_Sensitivity","2.61 (0.49)"
"DBAS_Consequences","6.16 (1.93)"
"DBAS_Worry_Helplessness","5.58 (1.89)"
"DBAS_Expectations","6.24 (2.28)"
"DBAS_Medications","5.67 (1.94)"
"DBAS_Total","5.93 (1.53)"
"CISS_Task","3.70 (0.64)"
"CISS_Emotion","2.79 (0.80)"
"CISS_Avoidance","2.83 (0.73)"
