"","level","Overall","0","1","p","test","SMD"
"n","","  397","  304","   93","","",""
"age (mean (SD))","","73.31 (6.07)","73.56 (6.05)","72.48 (6.11)"," 0.135",""," 0.177"
"sex (%)","Female","  255 (64.2) ","  191 (62.8) ","   64 (68.8) "," 0.352",""," 0.127"
"","Male","  142 (35.8) ","  113 (37.2) ","   29 (31.2) ","","",""
"education (%)","High School or Less","   84 (21.2) ","   69 (22.7) ","   15 (16.1) "," 0.225",""," 0.167"
"","Trade School/University Degree","  313 (78.8) ","  235 (77.3) ","   78 (83.9) ","","",""
"income (%)","$15,000 or less","    3 ( 0.8) ","    2 ( 0.7) ","    1 ( 1.1) "," 0.912",""," 0.116"
"","$15,000 to $30,000","   45 (11.3) ","   35 (11.5) ","   10 (10.8) ","","",""
"","$30,000 to $50,000","   73 (18.4) ","   55 (18.1) ","   18 (19.4) ","","",""
"","$50,000 to $80,000","  104 (26.2) ","   77 (25.3) ","   27 (29.0) ","","",""
"","$80,000 or more","  172 (43.3) ","  135 (44.4) ","   37 (39.8) ","","",""
"employment (%)","Full- or Part-Time Work","   29 ( 7.3) ","   20 ( 6.6) ","    9 ( 9.7) "," 0.437",""," 0.114"
"","Not in Workforce","  368 (92.7) ","  284 (93.4) ","   84 (90.3) ","","",""
"driving_freq (%)","Do not drive","   22 ( 5.5) ","   17 ( 5.6) ","    5 ( 5.4) "," 0.903",""," 0.090"
"","Less than 1 day/week","   35 ( 8.8) ","   26 ( 8.6) ","    9 ( 9.7) ","","",""
"","1-3 days/week","  114 (28.7) ","   90 (29.6) ","   24 (25.8) ","","",""
"","4-7 days/week","  226 (56.9) ","  171 (56.2) ","   55 (59.1) ","","",""
"phq2_score (mean (SD))",""," 1.36 (1.57)"," 1.37 (1.55)"," 1.33 (1.65)"," 0.851",""," 0.022"
"osss_3_score (mean (SD))","","10.21 (2.28)","10.23 (2.24)","10.15 (2.41)"," 0.769",""," 0.034"
"med_quant (mean (SD))",""," 6.42 (3.95)"," 6.68 (4.09)"," 5.56 (3.33)"," 0.016",""," 0.302"
"n_physical_conditions (mean (SD))",""," 3.39 (2.35)"," 3.42 (2.26)"," 3.29 (2.61)"," 0.647",""," 0.052"
"n_ment_conditions (mean (SD))",""," 0.78 (0.96)"," 0.78 (0.98)"," 0.76 (0.89)"," 0.864",""," 0.021"
"n_sleep_conditions (mean (SD))",""," 1.43 (0.68)"," 1.45 (0.67)"," 1.37 (0.72)"," 0.311",""," 0.118"
