"variable","family","effect_type","effect_size","ci_low","ci_high","interpretation","n_continued","n_discontinued","desc_continued","desc_discontinued"
"age","Demographics","Hedges_g",-0.177,-0.4099,0.0553,"Negligible",304,93,"73.56 (6.05)","72.48 (6.11)"
"sex","Demographics","Cramers_V",0.0529,0,0.1511,"Negligible",304,93,"2 levels","2 levels"
"education","Demographics","Cramers_V",0.0969,0,0.1944,"Negligible",304,93,"5 levels","4 levels"
"income","Demographics","Cramers_V",0.0498,0,0.1481,"Negligible",304,93,"5 levels","5 levels"
"employment","Demographics","Cramers_V",0.1017,0.0042,0.1991,"Small",304,93,"4 levels","3 levels"
"driving_freq","Demographics","Cramers_V",0.0379,0,0.1363,"Negligible",304,93,"4 levels","4 levels"
"phq2_score","Clinical","Hedges_g",-0.0223,-0.2546,0.21,"Negligible",304,93,"1.37 (1.55)","1.33 (1.65)"
"osss_3_score","Clinical","Hedges_g",-0.0348,-0.2672,0.1974,"Negligible",304,93,"10.23 (2.24)","10.15 (2.41)"
"gen_health","Clinical","Cramers_V",0.1317,0.0349,0.2285,"Small",304,93,"5 levels","5 levels"
"med_quant","Clinical","Hedges_g",-0.2862,-0.5198,-0.0536,"Small",304,93,"6.68 (4.09)","5.56 (3.33)"
"n_physical_conditions","Clinical","Hedges_g",-0.0542,-0.2866,0.178,"Negligible",304,93,"3.42 (2.26)","3.29 (2.61)"
"n_ment_conditions","Clinical","Hedges_g",-0.0202,-0.2525,0.212,"Negligible",304,93,"0.78 (0.98)","0.76 (0.89)"
"n_sleep_conditions","Clinical","Hedges_g",-0.12,-0.3526,0.1122,"Negligible",304,93,"1.45 (0.67)","1.37 (0.72)"
"n_health_conditions","Clinical","Hedges_g",-0.0755,-0.3079,0.1567,"Negligible",304,93,"5.65 (2.94)","5.42 (3.29)"
"alc_sleep","Sleep_Adverse","Cramers_V",0.0832,0,0.181,"Negligible",304,93,"5 levels","4 levels"
"can_sleep","Sleep_Adverse","Cramers_V",0.0408,0,0.1392,"Negligible",304,93,"5 levels","5 levels"
"melatonin_use","Sleep_Adverse","Cramers_V",0.1431,0.0466,0.2396,"Small",304,93,"5 levels","5 levels"
"op_sleep","Sleep_Adverse","Cramers_V",0.0741,0,0.1721,"Negligible",304,93,"4 levels","1 levels"
"side_effects_1","Sleep_Adverse","Hedges_g",0.3469,0.114,0.581,"Small",304,93,"2.47 (1.16)","2.89 (1.38)"
