"Family","Variable","Overall (N=397)","Continued (n=304)","Discontinued (n=93)","p (uncorrected)","p (FDR-corrected)","Sig (FDR)","Effect Size [95% CI]","Interpretation"
"Demographics","age","73.31 (6.07)","73.56 (6.05)","72.48 (6.11)","0.138","0.472","","d = -0.18 [-0.41, 0.06]","Negligible"
"Demographics","sex","","","","0.292","0.472","","V = 0.05 [0.00, 0.15]","Negligible"
"Demographics","    Female","255 (64.2)","191 (62.8)","64 (68.8)","","","","",""
"Demographics","    Male","142 (35.8)","113 (37.2)","29 (31.2)","","","","",""
"Demographics","education","","","","0.175","0.472","","V = 0.07 [0.00, 0.17]","Negligible"
"Demographics","    High School or Less","84 (21.2)","69 (22.7)","15 (16.1)","","","","",""
"Demographics","    Trade School/University Degree","313 (78.8)","235 (77.3)","78 (83.9)","","","","",""
"Demographics","income","","","","0.936","0.936","","V = 0.04 [0.00, 0.14]","Negligible"
"Demographics","    $15,000 or less","4 (1.0)","3 (1.0)","1 (1.1)","","","","",""
"Demographics","    $15,000 to $30,000","43 (10.7)","33 (10.7)","10 (10.8)","","","","",""
"Demographics","    $30,000 to $50,000","72 (18.2)","54 (17.8)","18 (19.4)","","","","",""
"Demographics","    $50,000 to $80,000","105 (26.6)","78 (25.8)","27 (29.0)","","","","",""
"Demographics","    $80,000 or more","173 (43.5)","136 (44.6)","37 (39.8)","","","","",""
"Demographics","employment","","","","0.315","0.472","","V = 0.05 [0.00, 0.15]","Negligible"
"Demographics","    Full- or Part-Time Work","29 (7.3)","20 (6.6)","9 (9.7)","","","","",""
"Demographics","    Not in Workforce","368 (92.7)","284 (93.4)","84 (90.3)","","","","",""
"Demographics","driving_freq","","","","0.803","0.936","","V = 0.05 [0.00, 0.15]","Negligible"
"Demographics","    Do not drive","25 (6.4)","19 (6.3)","6 (6.8)","","","","",""
"Demographics","    Less than 1 day/week","30 (7.6)","23 (7.6)","7 (7.5)","","","","",""
"Demographics","    1-3 days/week","108 (27.2)","86 (28.2)","22 (24.0)","","","","",""
"Demographics","    4-7 days/week","233 (58.8)","176 (57.9)","57 (61.7)","","","","",""
"Clinical","phq2_score","1.36 (1.57)","1.37 (1.55)","1.33 (1.65)","0.856","0.888","","d = -0.02 [-0.26, 0.21]","Negligible"
"Clinical","osss_3_score","10.21 (2.28)","10.23 (2.24)","10.15 (2.41)","0.777","0.888","","d = -0.04 [-0.27, 0.20]","Negligible"
"Clinical","med_quant","6.42 (3.95)","6.68 (4.09)","5.56 (3.33)","0.007","0.016","*","d = -0.29 [-0.52, -0.05]","Small"
"Clinical","n_physical_conditions","3.39 (2.35)","3.42 (2.26)","3.29 (2.61)","0.671","0.834","","d = -0.05 [-0.29, 0.18]","Negligible"
"Clinical","n_ment_conditions","0.78 (0.96)","0.78 (0.98)","0.76 (0.89)","0.857","0.888","","d = -0.02 [-0.25, 0.21]","Negligible"
"Clinical","n_sleep_conditions","1.43 (0.68)","1.45 (0.67)","1.37 (0.72)","0.330","0.516","","d = -0.12 [-0.35, 0.11]","Negligible"
"Clinical","n_health_conditions","5.59 (3.02)","5.65 (2.94)","5.42 (3.29)","0.548","0.731","","d = -0.08 [-0.31, 0.16]","Negligible"
"Clinical","bzra_daily_diazepam_eq","0.80 (1.37)","0.81 (1.41)","0.78 (1.20)","0.863","0.888","","d = -0.02 [-0.25, 0.21]","Negligible"
"Clinical","c_lengthofuse","12.29 (9.74)","12.92 (9.76)","10.22 (9.45)","0.017","0.037","*","d = -0.28 [-0.51, -0.04]","Small"
"Clinical","med_burden_1","2.57 (1.10)","2.63 (1.09)","2.37 (1.14)","0.045","0.085","","d = -0.24 [-0.48, -0.01]","Small"
"Clinical","med_burden2","3.37 (1.14)","3.37 (1.10)","3.34 (1.26)","0.849","0.888","","d = -0.02 [-0.26, 0.21]","Negligible"
"Clinical","medburden_3","3.25 (1.19)","3.34 (1.11)","2.99 (1.38)","0.028","0.055","","d = -0.29 [-0.53, -0.06]","Small"
"Clinical","med_burden_4","3.82 (0.97)","3.83 (0.92)","3.80 (1.12)","0.794","0.888","","d = -0.03 [-0.27, 0.20]","Negligible"
"Clinical","benefit_1","3.81 (0.93)","3.82 (0.92)","3.76 (0.98)","0.623","0.801","","d = -0.06 [-0.30, 0.17]","Negligible"
"Clinical","benefit_4","4.06 (0.75)","4.07 (0.76)","4.02 (0.75)","0.528","0.731","","d = -0.08 [-0.31, 0.15]","Negligible"
"Clinical","benefit_5","4.10 (0.73)","4.10 (0.73)","4.10 (0.71)","0.985","0.985","","d = +0.00 [-0.23, 0.23]","Negligible"
"Clinical","benefit_6","3.38 (1.09)","3.35 (1.06)","3.47 (1.17)","0.377","0.565","","d = +0.12 [-0.12, 0.35]","Negligible"
"Clinical","benefit_dep","3.58 (1.09)","3.60 (1.09)","3.50 (1.09)","0.481","0.693","","d = -0.09 [-0.32, 0.14]","Negligible"
