"Variable","Family","P_Value","P_Original","P_FDR","Significant_Uncorrected","Significant_FDR"
"gen_health","Clinical",0.169," 0.169",0.169,"No","No"
"phq2_score","Clinical",NA," NA",NA,"No","No"
"osss_3_score","Clinical",NA," NA",NA,"No","No"
"med_quant","Clinical",NA," NA",NA,"No","No"
"n_physical_conditions","Clinical",NA," NA",NA,"No","No"
"n_ment_conditions","Clinical",NA," NA",NA,"No","No"
"n_sleep_conditions","Clinical",NA," NA",NA,"No","No"
"n_health_conditions","Clinical",NA," NA",NA,"No","No"
"employment","Demographics",0.29," 0.290",0.706666666666667,"No","No"
"sex","Demographics",0.324," 0.324",0.706666666666667,"No","No"
"education","Demographics",0.424," 0.424",0.706666666666667,"No","No"
"income","Demographics",0.849," 0.849",0.893,"No","No"
"driving_freq","Demographics",0.893," 0.893",0.893,"No","No"
"age","Demographics",NA," NA",NA,"No","No"
"BFI_Extraversion","Personality",NA," NA",NA,"No","No"
"BFI_Agreeableness","Personality",NA," NA",NA,"No","No"
"BFI_Conscientiousness","Personality",NA," NA",NA,"No","No"
"BFI_Neuroticism","Personality",NA," NA",NA,"No","No"
"BFI_Openness","Personality",NA," NA",NA,"No","No"
"SURPS_Impulsivity","Personality",NA," NA",NA,"No","No"
"SURPS_Sensation_Seeking","Personality",NA," NA",NA,"No","No"
"SURPS_Hopelessness","Personality",NA," NA",NA,"No","No"
"SURPS_Anxiety_Sensitivity","Personality",NA," NA",NA,"No","No"
"DBAS_Consequences","Personality",NA," NA",NA,"No","No"
"DBAS_Worry_Helplessness","Personality",NA," NA",NA,"No","No"
"DBAS_Expectations","Personality",NA," NA",NA,"No","No"
"DBAS_Medications","Personality",NA," NA",NA,"No","No"
"CISS_Task","Personality",NA," NA",NA,"No","No"
"CISS_Emotion","Personality",NA," NA",NA,"No","No"
"CISS_Avoidance","Personality",NA," NA",NA,"No","No"
"stop_wdl_exp_combined","Sleep_Adverse",1e-04,"<0.001",5e-04,"Yes","Yes"
"melatonin_use","Sleep_Adverse",0.08," 0.080",0.2,"No","No"
"alc_sleep","Sleep_Adverse",0.636," 0.636",1,"No","No"
"can_sleep","Sleep_Adverse",0.958," 0.958",1,"No","No"
"op_sleep","Sleep_Adverse",1," 1.000",1,"No","No"
"side_effects_1","Sleep_Adverse",NA," NA",NA,"No","No"
"side_effects_2","Sleep_Adverse",NA," NA",NA,"No","No"
"side_effects_3","Sleep_Adverse",NA," NA",NA,"No","No"
"side_effects_4","Sleep_Adverse",NA," NA",NA,"No","No"
"safety_1","Sleep_Adverse",NA," NA",NA,"No","No"
"safety_2","Sleep_Adverse",NA," NA",NA,"No","No"
"safety_3","Sleep_Adverse",NA," NA",NA,"No","No"
"safety_4","Sleep_Adverse",NA," NA",NA,"No","No"
"adls_1","Sleep_Adverse",NA," NA",NA,"No","No"
"adls_2","Sleep_Adverse",NA," NA",NA,"No","No"
"dependence_1","Sleep_Adverse",NA," NA",NA,"No","No"
"dependence_2","Sleep_Adverse",NA," NA",NA,"No","No"
"dependence_3","Sleep_Adverse",NA," NA",NA,"No","No"
"wdl_symptom_count","Sleep_Adverse",NA," NA",NA,"No","No"
"motivation_1","behavioural",NA," NA",NA,"No","No"
"motivation_2","behavioural",NA," NA",NA,"No","No"
"motivation_3","behavioural",NA," NA",NA,"No","No"
"desires_1","behavioural",NA," NA",NA,"No","No"
"desires_2","behavioural",NA," NA",NA,"No","No"
"desires_3","behavioural",NA," NA",NA,"No","No"
"capability_1","behavioural",NA," NA",NA,"No","No"
"capability","behavioural",NA," NA",NA,"No","No"
