"variable","Family","p_val","effect_type","effect_size","ci_low","ci_high","interpretation","p_fdr"
"wdl_symptom_count","Sleep_Adverse",2.58908940997288e-26,"Cohens_d",-1.059,-1.302,-0.815,"Large",4.66036093795118e-25
"stop_wdl_exp_combined","Sleep_Adverse",5.32192238338349e-22,"Cramers_V",0.525,0.454,0.596,"Large",4.78973014504514e-21
"DBAS_Medications","Personality",5.92708404926573e-09,"Cohens_d",-0.775,-1.013,-0.536,"Medium",9.48333447882517e-08
"capability_1","Behavioural",1.79034849753745e-06,"Cohens_d",0.6,0.364,0.836,"Medium",7.16139399014978e-06
"capability","Behavioural",1.56887599211404e-06,"Cohens_d",-0.604,-0.84,-0.368,"Medium",7.16139399014978e-06
"motivation_1","Behavioural",0.00108058416087182,"Cohens_d",-0.395,-0.629,-0.162,"Small",0.00288155776232485
"motivation_2","Behavioural",0.00704047847971777,"Cohens_d",-0.303,-0.536,-0.07,"Small",0.0140809569594355
"desires_1","Behavioural",0.0211821395238826,"Cohens_d",0.284,0.051,0.517,"Small",0.0338914232382122
"desires_3","Behavioural",0.0272345004442298,"Cohens_d",0.265,0.032,0.498,"Small",0.0363126672589731
"side_effects_1","Sleep_Adverse",0.00775407050428565,"Cohens_d",0.348,0.114,0.581,"Small",0.0465244230257139
