"Variable","Domain","Mean_Importance","Thres_Count","Interp_Count","Pred_Count","Majority_Thres","Majority_Interp","Majority_Pred"
"age","Demographics",0.0250563851841037,24,0,0,TRUE,FALSE,FALSE
"sex","Demographics",0.0178661288743676,1,0,0,FALSE,FALSE,FALSE
"education","Demographics",0.00894111854829222,0,0,0,FALSE,FALSE,FALSE
"income","Demographics",0.00674494035311034,0,0,0,FALSE,FALSE,FALSE
"employment","Demographics",0.00589032002022424,0,0,0,FALSE,FALSE,FALSE
"driving_freq","Demographics",0.00512507523037628,2,0,0,FALSE,FALSE,FALSE
"phq2_score","Clinical",0.00447270787342706,25,0,0,TRUE,FALSE,FALSE
"osss_3_score","Clinical",0.00406015037096139,15,0,0,TRUE,FALSE,FALSE
"gen_health","Clinical",0.00371101996700073,1,0,0,FALSE,FALSE,FALSE
"med_quant","Clinical",0.00343968039850048,25,0,0,TRUE,FALSE,FALSE
"n_physical_conditions","Clinical",0.00319595396088904,19,0,0,TRUE,FALSE,FALSE
"n_ment_conditions","Clinical",0.00289599182617598,24,0,0,TRUE,FALSE,FALSE
"n_sleep_conditions","Clinical",0.0026303428843892,2,0,0,FALSE,FALSE,FALSE
"n_health_conditions","Clinical",0.00238026719262065,25,0,0,TRUE,FALSE,FALSE
"bzra_daily_diazepam_eq","Clinical",0.00212153902682888,25,17,1,TRUE,TRUE,FALSE
"c_lengthofuse","Clinical",0.00195917222150902,25,18,0,TRUE,TRUE,FALSE
"med_burden_1","Clinical",0.00181553336882712,25,0,0,TRUE,FALSE,FALSE
"med_burden2","Clinical",0.00162023577772356,4,0,0,FALSE,FALSE,FALSE
"medburden_3","Clinical",0.00151175799620953,25,0,0,TRUE,FALSE,FALSE
"med_burden_4","Clinical",0.00142146422568635,6,0,0,FALSE,FALSE,FALSE
"benefit_1","Clinical",0.00134192080186726,4,0,0,FALSE,FALSE,FALSE
"benefit_4","Clinical",0.00123571906903705,6,0,0,FALSE,FALSE,FALSE
"benefit_5","Clinical",0.00116103260792511,7,0,0,FALSE,FALSE,FALSE
"benefit_6","Clinical",0.00105954257878917,16,0,0,TRUE,FALSE,FALSE
"benefit_dep","Clinical",0.00098242715126767,3,0,0,FALSE,FALSE,FALSE
"stop_rate_dc","Clinical",0.000942744619672526,1,0,0,FALSE,FALSE,FALSE
"memory","Clinical",0.000890541722771128,25,18,1,TRUE,TRUE,FALSE
"thinking","Clinical",0.000841550182554695,25,19,1,TRUE,TRUE,FALSE
"activities","Clinical",0.000793093160624937,25,19,1,TRUE,TRUE,FALSE
"socialize","Clinical",0.000761816910627347,25,18,4,TRUE,TRUE,FALSE
"driving","Clinical",0.000714335785137229,25,20,0,TRUE,TRUE,FALSE
"balance","Clinical",0.000682073332589848,25,19,1,TRUE,TRUE,FALSE
"falls","Clinical",0.000636067789333391,25,20,1,TRUE,TRUE,FALSE
"indication","Clinical",0.000590075527626696,25,25,24,TRUE,TRUE,TRUE
"efficacy","Clinical",0.000564403393681872,25,19,0,TRUE,TRUE,FALSE
"alternative","Clinical",0.000529000257571695,25,18,0,TRUE,TRUE,FALSE
"inf_soc","Clinical",0.000503145336590285,25,20,2,TRUE,TRUE,FALSE
"inf_pres","Clinical",0.000483261074753778,25,8,0,TRUE,FALSE,FALSE
"inf_rphc","Clinical",0.000457960820394727,25,1,0,TRUE,FALSE,FALSE
"interactions","Clinical",0.000429836977849159,25,20,5,TRUE,TRUE,FALSE
