"Variable","Mean_Importance","Thres_Count","Interp_Count","Pred_Count","Majority_Thres","Majority_Interp","Majority_Pred"
"BFI_Extraversion",0.0317472275076032,25,12,4,TRUE,FALSE,FALSE
"BFI_Agreeableness",0.00751447193875134,1,0,0,FALSE,FALSE,FALSE
"BFI_Conscientiousness",0.0052204417317023,15,1,1,TRUE,FALSE,FALSE
"BFI_Neuroticism",0.00429653778545745,25,9,2,TRUE,FALSE,FALSE
"BFI_Openness",0.00376468388108341,12,1,1,FALSE,FALSE,FALSE
"SURPS_Impulsivity",0.00341223415872595,25,8,5,TRUE,FALSE,FALSE
"SURPS_Sensation_Seeking",0.00296271526419436,8,0,0,FALSE,FALSE,FALSE
"SURPS_Hopelessness",0.00244786068100563,25,11,3,TRUE,FALSE,FALSE
"SURPS_Anxiety_Sensitivity",0.0019096413213064,25,6,2,TRUE,FALSE,FALSE
"DBAS_Consequences",0.00143612498755493,25,17,3,TRUE,TRUE,FALSE
"DBAS_Worry_Helplessness",0.00103028683702225,25,5,0,TRUE,FALSE,FALSE
"DBAS_Expectations",0.000666149148051133,1,0,0,FALSE,FALSE,FALSE
"DBAS_Medications",0.000263373431612706,25,25,25,TRUE,TRUE,TRUE
"CISS_Task",3.6288268057855e-05,5,0,0,FALSE,FALSE,FALSE
"CISS_Emotion",-0.000324799952924579,25,23,12,TRUE,TRUE,TRUE
"CISS_Avoidance",-0.000847707452572411,11,1,0,FALSE,FALSE,FALSE
