"variable","type","n","mean","sd","summary","effect_size","es_measure","has_pair"
"osss_3_score","numeric",397,10.212,2.282,"Mean = 10.212, SD = 2.282",NA,NA,FALSE
"gen_health","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,FALSE
"sleep_health_con","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,FALSE
"def_insomnia","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,FALSE
"phys_health_con","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,FALSE
"ment_health_con","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,FALSE
"phq2_score","numeric",397,1.36,1.571,"Mean = 1.360, SD = 1.571",NA,NA,FALSE
"mobil_aid","numeric",397,0.207,0.539,"Mean = 0.207, SD = 0.539",NA,NA,FALSE
"fall","numeric",397,0.466,0.679,"Mean = 0.466, SD = 0.679",NA,NA,FALSE
"fall2","numeric",151,1.98,0.678,"Mean = 1.980, SD = 0.678",NA,NA,FALSE
"med_quant","numeric",397,6.421,3.948,"Mean = 6.421, SD = 3.948",NA,NA,FALSE
"med_burden_1","numeric",397,2.572,1.105,"Mean = 2.572, SD = 1.105",NA,NA,FALSE
"med_burden2","numeric",397,3.365,1.139,"Mean = 3.365, SD = 1.139",NA,NA,FALSE
"medburden_3","numeric",397,3.254,1.186,"Mean = 3.254, SD = 1.186",NA,NA,FALSE
"med_burden_4","numeric",397,3.821,0.97,"Mean = 3.821, SD = 0.970",NA,NA,FALSE
"c_lengthofuse","categorical",397,NA,NA,"Categorical — skipped",NA,NA,FALSE
"stop_rate_dc","numeric",285,1.032,0.824,"Mean = 1.032, SD = 0.824",-0.04,"Cohen's d",TRUE
"stop_rate_dc_2","numeric",96,0.802,0.854,"Mean = 0.802, SD = 0.854",0.077,"Cohen's d",TRUE
"tablet_split","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,TRUE
"tablet_split_2","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,TRUE
"stop_wdl_exp","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,TRUE
"stop_wdl_exp_2","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,TRUE
"duration_stopped","numeric",286,0.829,1.006,"Mean = 0.829, SD = 1.006",NA,NA,FALSE
"stopping_aids","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,TRUE
"stopping_aids_2","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,TRUE
"intent","numeric",293,1.799,0.757,"Mean = 1.799, SD = 0.757",NA,NA,FALSE
"alc_sleep","numeric",20,2.65,1.089,"Mean = 2.650, SD = 1.089",NA,NA,FALSE
"can_sleep","numeric",53,2.472,1.339,"Mean = 2.472, SD = 1.339",NA,NA,FALSE
"melatonin_use","numeric",95,2.674,1.267,"Mean = 2.674, SD = 1.267",NA,NA,FALSE
"op_sleep","numeric",7,2.571,1.397,"Mean = 2.571, SD = 1.397",NA,NA,FALSE
"benefit_1","numeric",270,3.826,0.946,"Mean = 3.826, SD = 0.946",-0.124,"Cohen's d",TRUE
"benefits_1_v2","NOT FOUND",NA,NA,NA,"Variable not found in dataset",NA,NA,TRUE
"benefit_4","numeric",269,4.086,0.765,"Mean = 4.086, SD = 0.765",-0.223,"Cohen's d",TRUE
"benefit_4_v2","numeric",90,3.989,0.727,"Mean = 3.989, SD = 0.727",0.35,"Cohen's d",TRUE
"benefit_5","numeric",270,4.115,0.735,"Mean = 4.115, SD = 0.735",-0.062,"Cohen's d",TRUE
"benefit_5_v2","numeric",90,4.067,0.716,"Mean = 4.067, SD = 0.716",0.401,"Cohen's d",TRUE
"benefit_6","numeric",269,3.323,1.074,"Mean = 3.323, SD = 1.074",-0.177,"Cohen's d",TRUE
"benefit_6_v2","numeric",90,3.511,1.124,"Mean = 3.511, SD = 1.124",0.101,"Cohen's d",TRUE
"benefit_dep","numeric",270,3.633,1.085,"Mean = 3.633, SD = 1.085",0.148,"Cohen's d",TRUE
"benefit_dep_v2","numeric",90,3.433,1.071,"Mean = 3.433, SD = 1.071",0.076,"Cohen's d",TRUE
"side_effects_1","numeric",270,2.285,1.075,"Mean = 2.285, SD = 1.075",0.281,"Cohen's d",TRUE
"side_effects_1_v2","numeric",90,2.867,1.317,"Mean = 2.867, SD = 1.317",-0.178,"Cohen's d",TRUE
"side_effects_2","numeric",269,1.981,0.866,"Mean = 1.981, SD = 0.866",0.11,"Cohen's d",TRUE
"side_effects_2_v2","numeric",90,2.356,1.115,"Mean = 2.356, SD = 1.115",-0.194,"Cohen's d",TRUE
"side_effects_3","numeric",269,1.517,0.746,"Mean = 1.517, SD = 0.746",0.178,"Cohen's d",TRUE
"side_effects_3_v2","numeric",90,1.711,0.974,"Mean = 1.711, SD = 0.974",-0.101,"Cohen's d",TRUE
"side_effects_4","numeric",264,2.848,0.931,"Mean = 2.848, SD = 0.931",-0.204,"Cohen's d",TRUE
"side_effects_4_v2","numeric",88,2.682,1.089,"Mean = 2.682, SD = 1.089",0.406,"Cohen's d",TRUE
"safety_1","numeric",264,1.913,0.753,"Mean = 1.913, SD = 0.753",-0.46,"Cohen's d",TRUE
"safety_1_v2","numeric",88,2.148,1.034,"Mean = 2.148, SD = 1.034",0.247,"Cohen's d",TRUE
"safety_2","numeric",264,3.386,0.952,"Mean = 3.386, SD = 0.952",-0.333,"Cohen's d",TRUE
"safety_2_v2","numeric",88,3.466,1.072,"Mean = 3.466, SD = 1.072",-0.504,"Cohen's d",TRUE
"safety_3","numeric",264,1.667,1.037,"Mean = 1.667, SD = 1.037",0.252,"Cohen's d",TRUE
"safety_3_v2","numeric",88,1.455,0.896,"Mean = 1.455, SD = 0.896",0.092,"Cohen's d",TRUE
"safety_4","numeric",264,3.33,1.382,"Mean = 3.330, SD = 1.382",0.319,"Cohen's d",TRUE
"safety_4_v2","numeric",88,3.239,1.33,"Mean = 3.239, SD = 1.330",-0.037,"Cohen's d",TRUE
"adls_1","numeric",264,1.803,0.863,"Mean = 1.803, SD = 0.863",-0.064,"Cohen's d",TRUE
"adls_1_v2","numeric",88,2.17,1.053,"Mean = 2.170, SD = 1.053",0.27,"Cohen's d",TRUE
"adls_2","numeric",263,1.726,0.843,"Mean = 1.726, SD = 0.843",0.34,"Cohen's d",TRUE
"adls_2_v2","numeric",88,2.102,1.104,"Mean = 2.102, SD = 1.104",0.243,"Cohen's d",TRUE
"dependence_1","numeric",262,3.74,1.097,"Mean = 3.740, SD = 1.097",-0.15,"Cohen's d",TRUE
"dependence_1_v2","numeric",88,3.239,1.39,"Mean = 3.239, SD = 1.390",0.473,"Cohen's d",TRUE
"dependence_2","numeric",261,3.536,1.135,"Mean = 3.536, SD = 1.135",-0.497,"Cohen's d",TRUE
"dependence_2_v2","numeric",87,3.115,1.205,"Mean = 3.115, SD = 1.205",0.414,"Cohen's d",TRUE
"dependence_3","numeric",261,3.023,1.173,"Mean = 3.023, SD = 1.173",0.277,"Cohen's d",TRUE
"dependence_3_v2","numeric",87,2.759,1.099,"Mean = 2.759, SD = 1.099",0.702,"Cohen's d",TRUE
"motivation_1","numeric",261,3.49,1.156,"Mean = 3.490, SD = 1.156",-0.142,"Cohen's d",TRUE
"motivation_1_v2","numeric",87,2.793,1.212,"Mean = 2.793, SD = 1.212",0.189,"Cohen's d",TRUE
"motivation_2","numeric",261,2.64,1.18,"Mean = 2.640, SD = 1.180",-0.272,"Cohen's d",TRUE
"motivation_2_v2","numeric",87,2.184,1.062,"Mean = 2.184, SD = 1.062",-0.243,"Cohen's d",TRUE
"motivation_3","numeric",261,2.544,1.194,"Mean = 2.544, SD = 1.194",-0.039,"Cohen's d",TRUE
"motivation_3_v2","numeric",87,2.793,1.365,"Mean = 2.793, SD = 1.365",0.219,"Cohen's d",TRUE
"desires_1","numeric",261,2.617,1.066,"Mean = 2.617, SD = 1.066",-0.115,"Cohen's d",TRUE
"desires_1_v2","numeric",87,2.954,1.238,"Mean = 2.954, SD = 1.238",0.409,"Cohen's d",TRUE
"desires_2","numeric",260,2.415,0.881,"Mean = 2.415, SD = 0.881",0.2,"Cohen's d",TRUE
"desires_2_v2","numeric",87,2.46,0.974,"Mean = 2.460, SD = 0.974",0.532,"Cohen's d",TRUE
"desires_3","numeric",261,3.464,1.072,"Mean = 3.464, SD = 1.072",0.198,"Cohen's d",TRUE
"desires_3_v2","numeric",87,3.69,1.223,"Mean = 3.690, SD = 1.223",0.429,"Cohen's d",TRUE
"capability","numeric",260,3.296,1.169,"Mean = 3.296, SD = 1.169",-0.567,"Cohen's d",TRUE
"capability_v2","numeric",87,2.46,1.301,"Mean = 2.460, SD = 1.301",0.23,"Cohen's d",TRUE
"capability_1","numeric",260,2.838,1.078,"Mean = 2.838, SD = 1.078",0.238,"Cohen's d",TRUE
"capability_1_v2","numeric",87,3.839,1.16,"Mean = 3.839, SD = 1.160",-0.054,"Cohen's d",TRUE
"inf_soc_1","numeric",260,2.219,0.931,"Mean = 2.219, SD = 0.931",0.411,"Cohen's d",TRUE
"inf_soc_1_v2","numeric",87,2.023,1.023,"Mean = 2.023, SD = 1.023",-0.177,"Cohen's d",TRUE
"inf_soc_2","numeric",260,2.131,0.962,"Mean = 2.131, SD = 0.962",0.221,"Cohen's d",TRUE
"inf_soc_2_v2","numeric",87,2.092,1.007,"Mean = 2.092, SD = 1.007",-0.024,"Cohen's d",TRUE
"inf_soc_3","numeric",260,2.069,1.026,"Mean = 2.069, SD = 1.026",0.184,"Cohen's d",TRUE
"inf_soc_3_v2","numeric",86,1.965,0.939,"Mean = 1.965, SD = 0.939",-0.121,"Cohen's d",TRUE
"inf_hcp_1","numeric",260,2.9,0.903,"Mean = 2.900, SD = 0.903",0.31,"Cohen's d",TRUE
"inf_hcp_1_v2","numeric",87,3.184,0.983,"Mean = 3.184, SD = 0.983",0.308,"Cohen's d",TRUE
"inf_hcp_2","numeric",260,3.188,1.149,"Mean = 3.188, SD = 1.149",0.132,"Cohen's d",TRUE
"inf_hcp_2_v2","numeric",87,3,1.201,"Mean = 3.000, SD = 1.201",0.412,"Cohen's d",TRUE
"inf_hcp_3","numeric",260,2.746,0.679,"Mean = 2.746, SD = 0.679",0.006,"Cohen's d",TRUE
"inf_hcp_3_v2","numeric",87,2.609,0.798,"Mean = 2.609, SD = 0.798",0.172,"Cohen's d",TRUE
"inf_hcp_4","numeric",259,2.22,0.941,"Mean = 2.220, SD = 0.941",0.312,"Cohen's d",TRUE
"inf_hcp_4_v2","numeric",87,2.172,1.081,"Mean = 2.172, SD = 1.081",0.007,"Cohen's d",TRUE
"memory","numeric",255,3.557,1.081,"Mean = 3.557, SD = 1.081",0.106,"Cohen's d",TRUE
"memory_v2","numeric",85,2.188,1.075,"Mean = 2.188, SD = 1.075",0.222,"Cohen's d",TRUE
"thinking","numeric",255,3.506,1.125,"Mean = 3.506, SD = 1.125",0.227,"Cohen's d",TRUE
"thinking_v2","numeric",84,2.214,1.131,"Mean = 2.214, SD = 1.131",0.116,"Cohen's d",TRUE
