model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model 1,(Intercept),-0.679937278686226,1.3536829077215518,0.5066487690454582,0.03568032802379888,7.1942437021336545,"0.51 [0.04, 7.19]",-0.5022869645526225,0.6157521065056566,
Model 1,DBAS_Medications,-0.4206429459932711,0.06982473126684174,0.6566245099706242,0.5726392055702878,0.7529273980896524,"0.66 [0.57, 0.75]",-6.024268742055659,3.9646811708055805e-9,***
Model 1,CISS_Emotion,-0.31840744909099383,0.1782416521423756,0.7273063877080511,0.5128555321113326,1.031430000224902,"0.73 [0.51, 1.03]",-1.7863807099176616,0.07482242947928015,.
Model 1,BFI_Extraversion,0.377362202295944,0.13015353297860574,1.458432461302494,1.1300493198512722,1.8822410728593615,"1.46 [1.13, 1.88]",2.89936195860295,0.003952912798857652,**
Model 1,SURPS_Anxiety_Sensitivity,-0.0069652564292441745,0.2817545902929288,0.993058944747585,0.5716637824137092,1.7250805422364601,"0.99 [0.57, 1.73]",-0.02472100426829845,0.9802902766766585,
Model 1,SURPS_Hopelessness,0.12403940541731166,0.32506286078466384,1.1320604794358766,0.598646621886641,2.1407636529572893,"1.13 [0.60, 2.14]",0.3815859034707779,0.7029785181476389,
Model 1,BFI_Openness,0.2013062087065941,0.14780666128055323,1.2229992074981633,0.91539936229533,1.6339612229908649,"1.22 [0.92, 1.63]",1.3619562674816994,0.17400601910873745,
Model 1,BFI_Neuroticism,0.2220547907543026,0.1523526881466971,1.2486397899060337,0.9263005971940758,1.6831483534172074,"1.25 [0.93, 1.68]",1.4575049082198723,0.1457901631063576,
Model 1,BFI_Conscientiousness,-0.06863873217460864,0.15604909898923086,0.9336639218919339,0.6876364707760713,1.2677168185375463,"0.93 [0.69, 1.27]",-0.43985343471509236,0.6602894484893518,
Model 2,(Intercept),2.048449212105653,2.2184460637886247,7.7558640751600825,0.10028841713160709,599.8043370593861,"7.76 [0.10, 599.80]",0.9233712036286092,0.3563936572058527,
