"variable","psrf","converged"
"desires_3",1.0168,TRUE
"driving_freq",1.0145,TRUE
"ciss20",1.0133,TRUE
"interactions",1.0127,TRUE
"ciss14",1.0118,TRUE
"inf_soc",1.0115,TRUE
"indication",1.0097,TRUE
"dbas_4",1.0097,TRUE
"side_effects_2",1.0095,TRUE
"ciss18",1.0094,TRUE
"side_effects_4",1.0093,TRUE
"dbas_9",1.0091,TRUE
"surps8",1.0091,TRUE
"surps21",1.0087,TRUE
"ciss8",1.0081,TRUE
"outgoing",1.0079,TRUE
"reduc",1.0077,TRUE
"dbas_2",1.0076,TRUE
"ciss12",1.0073,TRUE
"dependence",1.0071,TRUE
"surps23_r",1.007,TRUE
"benefit_dep",1.0063,TRUE
"surps19",1.0063,TRUE
"dbas_16",1.0062,TRUE
"adls_2",1.006,TRUE
"socialize",1.0058,TRUE
"safety_3",1.0056,TRUE
"dbas_14",1.0052,TRUE
"ciss3",1.005,TRUE
"surps14",1.0049,TRUE
"dbas_15",1.0046,TRUE
"thinking",1.0045,TRUE
"dbas_5",1.0045,TRUE
"thorough",1.0045,TRUE
"activities",1.0044,TRUE
"surps13_r",1.0044,TRUE
"dependence_2",1.0042,TRUE
"safety_2",1.0039,TRUE
"adls_1",1.0039,TRUE
"ciss17",1.0039,TRUE
"balance",1.0037,TRUE
"dbas_10",1.0036,TRUE
"surps5",1.0033,TRUE
"ciss6",1.0033,TRUE
"ciss11",1.0033,TRUE
"benefit_5",1.0031,TRUE
"surps18",1.0029,TRUE
"benefit_4",1.0022,TRUE
"alternative",1.0022,TRUE
"dbas_8",1.0022,TRUE
"trusting",1.0022,TRUE
"surps6",1.0021,TRUE
"stop_rate_dc",1.0019,TRUE
"safety_4",1.0017,TRUE
"nervous",1.0017,TRUE
"ciss19",1.0017,TRUE
"surps9",1.0016,TRUE
"ciss5",1.0015,TRUE
"desires_1",1.0014,TRUE
"imagination",1.0012,TRUE
"motivation_2",1.0009,TRUE
"benefit_1",1.0008,TRUE
"surps4_r",1.0008,TRUE
"side_effects_3",1.0007,TRUE
"dbas_11",1.0005,TRUE
"side_effects_1",1.0004,TRUE
"safety_1",1.0004,TRUE
"surps2",1.0004,TRUE
"dependence_1",1.0003,TRUE
"surps16",1.0003,TRUE
"dbas_3",1.0002,TRUE
"few_interests_r",1.0002,TRUE
"motivation_3",1.0001,TRUE
"age",1,TRUE
"sex",1,TRUE
"education",1,TRUE
"employment",1,TRUE
"phq2_score",1,TRUE
"osss_3_score",1,TRUE
"gen_health",1,TRUE
"med_quant",1,TRUE
"c_lengthofuse",1,TRUE
"med_burden_1",1,TRUE
"med_burden2",1,TRUE
"medburden_3",1,TRUE
"med_burden_4",1,TRUE
"n_physical_conditions",1,TRUE
"n_ment_conditions",1,TRUE
"n_sleep_conditions",1,TRUE
"alc_sleep",1,TRUE
"can_sleep",1,TRUE
"melatonin_use",1,TRUE
"op_sleep",1,TRUE
"bzra_daily_diazepam_eq",1,TRUE
"bzra_weekly_diazepam_eq",1,TRUE
"stop_wdl_exp_combined",1,TRUE
"wdl_symptom_count",1,TRUE
"ciss1",1,TRUE
"income",0.9999,TRUE
"dbas_6",0.9999,TRUE
"surps7_r",0.9999,TRUE
"ciss21",0.9998,TRUE
"efficacy",0.9997,TRUE
"dbas_13",0.9997,TRUE
"falls",0.9996,TRUE
"dependence_3",0.9994,TRUE
"capability",0.9994,TRUE
"benefit_6",0.9991,TRUE
"lazy_r",0.9991,TRUE
"ciss16",0.999,TRUE
"capability_1",0.9988,TRUE
"inf_pres",0.9987,TRUE
"surps1_r",0.9987,TRUE
"ciss9",0.9983,TRUE
"cost",0.9982,TRUE
"reserved_r",0.998,TRUE
"ciss4",0.998,TRUE
"surps20_r",0.9978,TRUE
"surps10",0.9977,TRUE
"ciss13",0.9976,TRUE
"ciss15",0.9974,TRUE
"motivation_1",0.9973,TRUE
"memory",0.9973,TRUE
"dbas_7",0.9971,TRUE
"find_fault_r",0.9971,TRUE
"surps3",0.9969,TRUE
"dbas1",0.9968,TRUE
"desires_2",0.9966,TRUE
"surps17",0.9964,TRUE
"ciss10",0.9963,TRUE
"driving",0.9962,TRUE
"ciss2",0.9958,TRUE
"surps11",0.9953,TRUE
"relaxed_r",0.9951,TRUE
"inf_rphc",0.9949,TRUE
"surps12",0.9946,TRUE
"surps15",0.9946,TRUE
"ciss7",0.9946,TRUE
"surps22",0.9942,TRUE
"dbas_12",0.9938,TRUE
