"variable","n_missing","obs_mean","obs_sd","imp_mean","imp_sd","mean_diff","sd_ratio","abs_smd","flag"
"stop_rate_dc",16,0.974,0.836,0.9,0.82,-0.074,0.98,0.089,"✓"
"motivation_1",49,3.316,1.207,3.138,1.217,-0.178,1.009,0.147,"✓"
"motivation_2",49,2.526,1.167,2.389,1.141,-0.137,0.977,0.119,"✓"
"motivation_3",49,2.606,1.242,2.567,1.232,-0.039,0.992,0.032,"✓"
"desires_1",49,2.701,1.12,2.764,1.142,0.063,1.02,0.056,"✓"
"desires_2",50,2.427,0.904,2.369,0.957,-0.058,1.059,0.062,"✓"
"desires_3",49,3.52,1.114,3.511,1.163,-0.009,1.044,0.008,"✓"
"capability_1",50,3.089,1.181,3.214,1.182,0.125,1.001,0.106,"✓"
"capability",50,3.086,1.256,2.906,1.279,-0.181,1.019,0.143,"✓"
"benefit_1",37,3.808,0.932,3.81,0.955,0.001,1.025,0.001,"✓"
"benefit_4",38,4.061,0.756,4.043,0.717,-0.018,0.948,0.025,"✓"
"benefit_5",37,4.103,0.73,4.098,0.699,-0.004,0.958,0.006,"✓"
"benefit_6",38,3.37,1.088,3.435,1.086,0.064,0.998,0.059,"✓"
"benefit_dep",37,3.583,1.084,3.51,1.141,-0.073,1.053,0.066,"✓"
"memory",57,3.215,1.231,3.258,1.26,0.043,1.024,0.034,"✓"
"thinking",58,3.186,1.256,3.239,1.271,0.053,1.012,0.042,"✓"
"activities",58,3.156,1.279,3.219,1.297,0.062,1.014,0.048,"✓"
"socialize",57,3.041,1.303,3.045,1.317,0.004,1.011,0.003,"✓"
"driving",57,3.174,1.371,3.222,1.384,0.048,1.01,0.035,"✓"
"balance",59,3.308,1.24,3.198,1.281,-0.11,1.033,0.087,"✓"
"falls",59,3.204,1.29,3.115,1.331,-0.089,1.032,0.068,"✓"
"indication",59,3.811,1.435,3.504,1.509,-0.307,1.052,0.208,"✓"
"efficacy",59,3.811,1.173,3.485,1.372,-0.326,1.17,0.255,"✓"
