"variable","W","B","RIV","flag"
"stop_rate_dc",0.6587,0.0547,0.083,"✓"
"benefit_dep",1.2756,0.0621,0.0487,"✓"
"trusting",1.2056,0.0416,0.0345,"✓"
"benefit_4",0.5099,0.0171,0.0335,"✓"
"dbas_5",7.2847,0.2411,0.0331,"✓"
"benefit_1",0.9095,0.027,0.0297,"✓"
"benefit_5",0.4881,0.0144,0.0294,"✓"
"memory",1.5727,0.0444,0.0282,"✓"
"surps18",0.578,0.0157,0.0272,"✓"
"dbas_11",8.3449,0.2187,0.0262,"✓"
"dbas_15",9.8701,0.2463,0.025,"✓"
"ciss18",1.5011,0.037,0.0246,"✓"
"surps15",0.7067,0.0171,0.0243,"✓"
"thinking",1.6055,0.0389,0.0242,"✓"
"few_interests_r",2.1217,0.0512,0.0241,"✓"
"desires_1",1.3006,0.0307,0.0236,"✓"
"interactions",1.7615,0.0405,0.023,"✓"
"surps9",0.6043,0.0139,0.023,"✓"
"surps22",0.4638,0.0106,0.0229,"✓"
"alternative",1.8581,0.0423,0.0227,"✓"
"surps21",0.5792,0.0131,0.0227,"✓"
"capability",1.6315,0.0369,0.0226,"✓"
"motivation_1",1.4791,0.033,0.0223,"✓"
"balance",1.6324,0.0361,0.0221,"✓"
"dbas_9",9.7721,0.2143,0.0219,"✓"
"surps2",0.6195,0.0133,0.0215,"✓"
"falls",1.7636,0.0375,0.0213,"✓"
"dbas_6",8.8891,0.1897,0.0213,"✓"
"desires_3",1.3521,0.0286,0.0211,"✓"
"driving",1.9083,0.0397,0.0208,"✓"
"thorough",0.7416,0.0153,0.0207,"✓"
"dbas_4",10.033,0.2058,0.0205,"✓"
"reserved_r",2.0398,0.0415,0.0204,"✓"
"surps23_r",0.5946,0.012,0.0201,"✓"
"desires_2",0.9171,0.018,0.0196,"✓"
"ciss5",1.5954,0.0313,0.0196,"✓"
"ciss14",1.4166,0.0278,0.0196,"✓"
"motivation_3",1.5198,0.0297,0.0195,"✓"
"surps19",0.903,0.0175,0.0194,"✓"
"dbas1",5.899,0.1119,0.019,"✓"
"surps13_r",0.3625,0.0068,0.0188,"✓"
"surps7_r",0.5943,0.0111,0.0187,"✓"
"ciss12",1.2195,0.0225,0.0184,"✓"
"surps20_r",0.4495,0.0082,0.0182,"✓"
"capability_1",1.3998,0.0248,0.0177,"✓"
"cost",1.2874,0.0226,0.0175,"✓"
"inf_pres",1.3188,0.0229,0.0174,"✓"
"outgoing",1.5253,0.0265,0.0174,"✓"
"ciss17",1.2615,0.022,0.0174,"✓"
"ciss10",1.6724,0.0289,0.0173,"✓"
"surps14",0.7123,0.0121,0.017,"✓"
"surps12",0.9495,0.0159,0.0167,"✓"
"motivation_2",1.3068,0.0212,0.0162,"✓"
"dbas_12",7.9272,0.1281,0.0162,"✓"
"surps10",0.6366,0.0103,0.0162,"✓"
"surps17",0.802,0.013,0.0162,"✓"
"ciss4",1.6701,0.0267,0.016,"✓"
"dbas_3",8.3856,0.1336,0.0159,"✓"
"ciss19",1.0294,0.016,0.0155,"✓"
"inf_rphc",1.1457,0.0176,0.0154,"✓"
"surps6",0.6341,0.0098,0.0154,"✓"
"benefit_6",1.1924,0.0181,0.0152,"✓"
"lazy_r",1.6739,0.025,0.0149,"✓"
"dbas_8",9.2771,0.1367,0.0147,"✓"
"relaxed_r",1.6685,0.0245,0.0147,"✓"
"ciss13",0.815,0.0116,0.0142,"✓"
"ciss20",1.2957,0.0182,0.0141,"✓"
"ciss2",0.758,0.0106,0.014,"✓"
"dbas_13",6.7633,0.0941,0.0139,"✓"
"dbas_16",11.9124,0.1656,0.0139,"✓"
"dbas_2",10.9427,0.1494,0.0137,"✓"
"nervous",1.87,0.0257,0.0137,"✓"
"surps16",0.4253,0.0058,0.0136,"✓"
"surps11",0.5112,0.0068,0.0134,"✓"
"ciss8",1.048,0.014,0.0133,"✓"
"efficacy",1.8913,0.0241,0.0127,"✓"
"ciss9",1.3867,0.0172,0.0124,"✓"
"ciss15",1.5384,0.0188,0.0122,"✓"
"dbas_7",10.2397,0.1243,0.0121,"✓"
"dbas_14",10.2409,0.1243,0.0121,"✓"
"surps1_r",0.5106,0.0061,0.0119,"✓"
"ciss1",1.1986,0.0143,0.0119,"✓"
"activities",1.6899,0.0198,0.0117,"✓"
"reduc",1.4713,0.0169,0.0115,"✓"
"surps4_r",0.5882,0.0067,0.0115,"✓"
"socialize",1.7443,0.0198,0.0114,"✓"
"inf_soc",1.374,0.0155,0.0113,"✓"
"ciss11",0.9277,0.0103,0.0111,"✓"
"surps5",0.5746,0.0063,0.011,"✓"
"find_fault_r",1.4926,0.0163,0.0109,"✓"
"surps3",0.8873,0.0096,0.0108,"✓"
"indication",2.2919,0.0237,0.0103,"✓"
"dbas_10",6.7896,0.0698,0.0103,"✓"
"surps8",0.6047,0.0061,0.0101,"✓"
"ciss7",1.4796,0.0149,0.0101,"✓"
"ciss6",0.968,0.009,0.0093,"✓"
"ciss3",1.5729,0.0143,0.0091,"✓"
"ciss16",0.9349,0.0085,0.0091,"✓"
"dependence",1.4932,0.0119,0.008,"✓"
"imagination",1.226,0.0091,0.0074,"✓"
"ciss21",1.6608,0.0123,0.0074,"✓"
