"it","im","dep","meth","out","event_type"
1,1,"side_effects_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"safety_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"safety_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dependence_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dependence_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dependence_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"motivation_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"motivation_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"motivation_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"desires_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"capability_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"capability","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"benefit_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"benefit_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"benefit_dep","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"memory","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"thinking","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"activities","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"socialize","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"driving","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"balance","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"falls","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"indication","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"efficacy","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"alternative","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"inf_soc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"inf_rphc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"interactions","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"reduc","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"cost","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_6","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_7","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_8","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_9","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_13","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_15","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_16","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"nervous","pmm","stop_wdl_exp_combined.C","dropped_predictor"
