"variable","n_missing","pct_missing","category"
"ciss11",64,16.1209068010076,"Moderate (10-25%)"
"ciss12",64,16.1209068010076,"Moderate (10-25%)"
"ciss13",64,16.1209068010076,"Moderate (10-25%)"
"ciss14",64,16.1209068010076,"Moderate (10-25%)"
"ciss15",64,16.1209068010076,"Moderate (10-25%)"
"ciss16",64,16.1209068010076,"Moderate (10-25%)"
"ciss17",64,16.1209068010076,"Moderate (10-25%)"
"ciss18",64,16.1209068010076,"Moderate (10-25%)"
"ciss19",64,16.1209068010076,"Moderate (10-25%)"
"ciss20",64,16.1209068010076,"Moderate (10-25%)"
"ciss21",64,16.1209068010076,"Moderate (10-25%)"
"surps17",63,15.8690176322418,"Moderate (10-25%)"
"surps18",63,15.8690176322418,"Moderate (10-25%)"
"surps19",63,15.8690176322418,"Moderate (10-25%)"
"surps20",63,15.8690176322418,"Moderate (10-25%)"
"surps21",63,15.8690176322418,"Moderate (10-25%)"
"surps22",63,15.8690176322418,"Moderate (10-25%)"
"surps23",63,15.8690176322418,"Moderate (10-25%)"
"ciss1",63,15.8690176322418,"Moderate (10-25%)"
"ciss2",63,15.8690176322418,"Moderate (10-25%)"
"ciss3",63,15.8690176322418,"Moderate (10-25%)"
"ciss4",63,15.8690176322418,"Moderate (10-25%)"
"ciss5",63,15.8690176322418,"Moderate (10-25%)"
"ciss6",63,15.8690176322418,"Moderate (10-25%)"
"ciss7",63,15.8690176322418,"Moderate (10-25%)"
"ciss8",63,15.8690176322418,"Moderate (10-25%)"
"ciss9",63,15.8690176322418,"Moderate (10-25%)"
"ciss10",63,15.8690176322418,"Moderate (10-25%)"
"surps9",61,15.3652392947103,"Moderate (10-25%)"
"surps10",61,15.3652392947103,"Moderate (10-25%)"
"surps11",61,15.3652392947103,"Moderate (10-25%)"
"surps12",61,15.3652392947103,"Moderate (10-25%)"
"surps13",61,15.3652392947103,"Moderate (10-25%)"
"surps14",61,15.3652392947103,"Moderate (10-25%)"
"surps15",61,15.3652392947103,"Moderate (10-25%)"
"surps16",61,15.3652392947103,"Moderate (10-25%)"
"surps1",60,15.1133501259446,"Moderate (10-25%)"
"surps2",60,15.1133501259446,"Moderate (10-25%)"
"surps3",60,15.1133501259446,"Moderate (10-25%)"
"surps4",60,15.1133501259446,"Moderate (10-25%)"
"surps5",60,15.1133501259446,"Moderate (10-25%)"
"surps6",60,15.1133501259446,"Moderate (10-25%)"
"surps7",60,15.1133501259446,"Moderate (10-25%)"
"surps8",60,15.1133501259446,"Moderate (10-25%)"
"dbas1",59,14.8614609571788,"Moderate (10-25%)"
"dbas_2",59,14.8614609571788,"Moderate (10-25%)"
"dbas_3",59,14.8614609571788,"Moderate (10-25%)"
"dbas_4",59,14.8614609571788,"Moderate (10-25%)"
"dbas_5",59,14.8614609571788,"Moderate (10-25%)"
"dbas_6",59,14.8614609571788,"Moderate (10-25%)"
"dbas_7",59,14.8614609571788,"Moderate (10-25%)"
"dbas_8",59,14.8614609571788,"Moderate (10-25%)"
"dbas_9",59,14.8614609571788,"Moderate (10-25%)"
"dbas_10",59,14.8614609571788,"Moderate (10-25%)"
"dbas_11",59,14.8614609571788,"Moderate (10-25%)"
"dbas_12",59,14.8614609571788,"Moderate (10-25%)"
"dbas_13",59,14.8614609571788,"Moderate (10-25%)"
"dbas_14",59,14.8614609571788,"Moderate (10-25%)"
"dbas_15",59,14.8614609571788,"Moderate (10-25%)"
"dbas_16",59,14.8614609571788,"Moderate (10-25%)"
"reserved",59,14.8614609571788,"Moderate (10-25%)"
"trusting",59,14.8614609571788,"Moderate (10-25%)"
"lazy",59,14.8614609571788,"Moderate (10-25%)"
"relaxed",59,14.8614609571788,"Moderate (10-25%)"
"few_interests",59,14.8614609571788,"Moderate (10-25%)"
"outgoing",59,14.8614609571788,"Moderate (10-25%)"
"find_fault",59,14.8614609571788,"Moderate (10-25%)"
"thorough",59,14.8614609571788,"Moderate (10-25%)"
"nervous",59,14.8614609571788,"Moderate (10-25%)"
"imagination",59,14.8614609571788,"Moderate (10-25%)"
"desires_2",50,12.5944584382872,"Moderate (10-25%)"
"capability_1",50,12.5944584382872,"Moderate (10-25%)"
"capability",50,12.5944584382872,"Moderate (10-25%)"
"dependence_2",49,12.3425692695214,"Moderate (10-25%)"
"dependence_3",49,12.3425692695214,"Moderate (10-25%)"
"motivation_1",49,12.3425692695214,"Moderate (10-25%)"
"motivation_2",49,12.3425692695214,"Moderate (10-25%)"
"motivation_3",49,12.3425692695214,"Moderate (10-25%)"
"desires_1",49,12.3425692695214,"Moderate (10-25%)"
"desires_3",49,12.3425692695214,"Moderate (10-25%)"
"dependence_1",47,11.8387909319899,"Moderate (10-25%)"
"adls_2",46,11.5869017632242,"Moderate (10-25%)"
"side_effects_4",45,11.3350125944584,"Moderate (10-25%)"
"safety_1",45,11.3350125944584,"Moderate (10-25%)"
"safety_2",45,11.3350125944584,"Moderate (10-25%)"
"safety_3",45,11.3350125944584,"Moderate (10-25%)"
"safety_4",45,11.3350125944584,"Moderate (10-25%)"
"adls_1",45,11.3350125944584,"Moderate (10-25%)"
"side_effects_2",38,9.57178841309824,"Low (5-10%)"
"side_effects_3",38,9.57178841309824,"Low (5-10%)"
"side_effects_1",37,9.31989924433249,"Low (5-10%)"
"driving_freq",35,8.81612090680101,"Low (5-10%)"
"income",9,2.26700251889169,"Minimal (<5%)"
"age",0,0,"Minimal (<5%)"
"sex",0,0,"Minimal (<5%)"
"education",0,0,"Minimal (<5%)"
"employment",0,0,"Minimal (<5%)"
"phq2_score",0,0,"Minimal (<5%)"
"osss_3_score",0,0,"Minimal (<5%)"
"gen_health",0,0,"Minimal (<5%)"
"med_quant",0,0,"Minimal (<5%)"
"n_health_conditions",0,0,"Minimal (<5%)"
"n_physical_conditions",0,0,"Minimal (<5%)"
"n_ment_conditions",0,0,"Minimal (<5%)"
"n_sleep_conditions",0,0,"Minimal (<5%)"
"alc_sleep",0,0,"Minimal (<5%)"
"can_sleep",0,0,"Minimal (<5%)"
"melatonin_use",0,0,"Minimal (<5%)"
"op_sleep",0,0,"Minimal (<5%)"
"stop_wdl_exp_combined",0,0,"Minimal (<5%)"
"wdl_symptom_count",0,0,"Minimal (<5%)"
