"subscale","n_items","n_reversed","alpha","raw_alpha","raw_alpha.1","mean_inter_r","mean","sd","status"
"BFI_Extraversion",2,1,0.53,0.428,0.614,0.363,3.24,1.04,"POOR"
"BFI_Agreeableness",2,1,0.318,0.169,0.44,0.191,3.82,0.86,"POOR"
"BFI_Conscientiousness",2,1,0.385,0.251,0.495,0.253,4.19,0.83,"POOR"
"BFI_Neuroticism",2,1,0.575,0.482,0.651,0.403,2.91,1.05,"POOR"
"BFI_Openness",2,1,0.18,0.001,0.327,0.104,3.54,0.91,"POOR"
"SURPS_Hopelessness",7,6,0.844,0.819,0.866,0.438,2.02,0.49,"GOOD"
"SURPS_Impulsivity",5,0,0.694,0.644,0.739,0.312,2.01,0.48,"ACCEPTABLE"
"SURPS_Sensation_Seeking",6,0,0.641,0.584,0.693,0.233,1.98,0.5,"ACCEPTABLE"
"SURPS_Anxiety_Sensitivity",5,0,0.687,0.636,0.733,0.306,2.6,0.49,"ACCEPTABLE"
"DBAS_Consequences",7,0,0.824,0.796,0.849,0.407,6.17,1.93,"GOOD"
"DBAS_Worry_Helplessness",4,0,0.645,0.584,0.699,0.313,5.59,1.9,"ACCEPTABLE"
"DBAS_Expectations",2,0,0.417,0.29,0.521,0.274,6.28,2.29,"POOR"
"DBAS_Medications",3,0,0.459,0.36,0.545,0.212,5.66,1.92,"POOR"
"DBAS_Total",16,0,0.849,0.826,0.87,0.262,5.94,1.54,"GOOD"
"CISS_Task",7,0,0.833,0.807,0.857,0.418,3.7,0.64,"GOOD"
"CISS_Emotion",7,0,0.84,0.814,0.863,0.427,2.79,0.81,"GOOD"
"CISS_Avoidance",7,0,0.711,0.665,0.753,0.258,2.84,0.72,"GOOD"
