"Variable","Class","N_Complete","N_Missing","Pct_Missing","Domain"
"scrn_stopped_bzra","numeric",397,0,0,"OUTCOME"
"age","numeric",397,0,0,"Demographics"
"sex","numeric",397,0,0,"Demographics"
"education","numeric",397,0,0,"Demographics"
"income","numeric",388,9,2.3,"Demographics"
"employment","numeric",397,0,0,"Demographics"
"driving_freq","numeric",362,35,8.8,"Demographics"
"phq2_score","numeric",397,0,0,"Clinical: Health"
"osss_3_score","numeric",397,0,0,"Clinical: Health"
"gen_health","ordered/factor",397,0,0,"Clinical: Health"
"med_quant","numeric",397,0,0,"Clinical: Health"
"c_lengthofuse","numeric",397,0,0,"Clinical: Length of Use"
"med_burden_1","numeric",397,0,0,"Clinical: Medication Burden"
"med_burden2","numeric",397,0,0,"Clinical: Medication Burden"
"medburden_3","numeric",397,0,0,"Clinical: Medication Burden"
"med_burden_4","numeric",397,0,0,"Clinical: Medication Burden"
"n_health_conditions","numeric",397,0,0,"Clinical: Condition Counts"
"n_physical_conditions","numeric",397,0,0,"Clinical: Condition Counts"
"n_ment_conditions","numeric",397,0,0,"Clinical: Condition Counts"
"n_sleep_conditions","numeric",397,0,0,"Clinical: Condition Counts"
"alc_sleep","numeric",397,0,0,"Behavioural: Sleep Aids"
"can_sleep","numeric",397,0,0,"Behavioural: Sleep Aids"
"melatonin_use","numeric",397,0,0,"Behavioural: Sleep Aids"
"op_sleep","numeric",397,0,0,"Behavioural: Sleep Aids"
"side_effects_1","numeric",360,37,9.3,"Clinical: Adverse Effects"
"side_effects_2","numeric",359,38,9.6,"Clinical: Adverse Effects"
"side_effects_3","numeric",359,38,9.6,"Clinical: Adverse Effects"
"side_effects_4","numeric",352,45,11.3,"Clinical: Adverse Effects"
"safety_1","numeric",352,45,11.3,"Clinical: Adverse Effects"
"safety_2","numeric",352,45,11.3,"Clinical: Adverse Effects"
"safety_3","numeric",352,45,11.3,"Clinical: Adverse Effects"
"safety_4","numeric",352,45,11.3,"Clinical: Adverse Effects"
"adls_1","numeric",352,45,11.3,"Clinical: Adverse Effects"
"adls_2","numeric",351,46,11.6,"Clinical: Adverse Effects"
"dependence_1","numeric",350,47,11.8,"Clinical: Adverse Effects"
"dependence_2","numeric",348,49,12.3,"Clinical: Adverse Effects"
"dependence_3","numeric",348,49,12.3,"Clinical: Adverse Effects"
"stop_wdl_exp_combined","numeric",397,0,0,"Clinical: Withdrawal"
"wdl_symptom_count","numeric",397,0,0,"Clinical: Withdrawal"
"stop_rate_dc","numeric",381,16,4,"Clinical: Stop Rate"
"motivation_1","numeric",348,49,12.3,"Behavioural: COM-B"
"motivation_2","numeric",348,49,12.3,"Behavioural: COM-B"
"motivation_3","numeric",348,49,12.3,"Behavioural: COM-B"
"desires_1","numeric",348,49,12.3,"Behavioural: COM-B"
"desires_2","numeric",347,50,12.6,"Behavioural: COM-B"
"desires_3","numeric",348,49,12.3,"Behavioural: COM-B"
"capability_1","numeric",347,50,12.6,"Behavioural: COM-B"
"capability","numeric",347,50,12.6,"Behavioural: COM-B"
"benefit_1","numeric",360,37,9.3,"Clinical: BMQ Necessity (raw items)"
"benefit_4","numeric",359,38,9.6,"Clinical: BMQ Necessity (raw items)"
"benefit_5","numeric",360,37,9.3,"Clinical: BMQ Necessity (raw items)"
"benefit_6","numeric",359,38,9.6,"Clinical: BMQ Necessity (raw items)"
"benefit_dep","numeric",360,37,9.3,"Clinical: BMQ Necessity (raw items)"
"memory","numeric",340,57,14.4,"Behavioural: Reasons"
"thinking","numeric",339,58,14.6,"Behavioural: Reasons"
"activities","numeric",339,58,14.6,"Behavioural: Reasons"
"socialize","numeric",340,57,14.4,"Behavioural: Reasons"
"driving","numeric",340,57,14.4,"Behavioural: Reasons"
"balance","numeric",338,59,14.9,"Behavioural: Reasons"
"falls","numeric",338,59,14.9,"Behavioural: Reasons"
"indication","numeric",338,59,14.9,"Behavioural: Reasons"
"efficacy","numeric",338,59,14.9,"Behavioural: Reasons"
"alternative","numeric",338,59,14.9,"Behavioural: Reasons"
"inf_soc","numeric",338,59,14.9,"Behavioural: Reasons"
"inf_pres","numeric",338,59,14.9,"Behavioural: Reasons"
"inf_rphc","numeric",338,59,14.9,"Behavioural: Reasons"
"interactions","numeric",338,59,14.9,"Behavioural: Reasons"
"dependence","numeric",338,59,14.9,"Behavioural: Reasons"
"reduc","numeric",337,60,15.1,"Behavioural: Reasons"
"cost","numeric",334,63,15.9,"Behavioural: Reasons"
"dbas1","numeric",338,59,14.9,"Personality: DBAS"
"dbas_2","numeric",338,59,14.9,"Personality: DBAS"
